Date,Station Id,Station Name,Precipitation Increment (in),Air Temperature Average (degF),Air Temperature Maximum (degF),Air Temperature Minimum (degF),Soil Moisture Percent -2in (pct) Mean of Hourly Values,Soil Moisture Percent -4in (pct) Mean of Hourly Values,Soil Moisture Percent -8in (pct) Mean of Hourly Values,Soil Moisture Percent -20in (pct) Mean of Hourly Values,Soil Moisture Percent -40in (pct) Mean of Hourly Values,Soil Temperature Observed -2in (degF) Mean of Hourly Values,Soil Temperature Observed -4in (degF) Mean of Hourly Values,Soil Temperature Observed -8in (degF) Mean of Hourly Values,Soil Temperature Observed -20in (degF) Mean of Hourly Values,Soil Temperature Observed -40in (degF) Mean of Hourly Values,Relative Humidity (pct) Mean of Hourly Values,Solar Radiation/langley Total (langley),Precipitation Accumulation (in) Start of Day Values
2009-03-26,2057,AAMU-JTG,1.40,60,70,54,37.5,37.6,37.0,41.5,46.2,59,58,58,55,52,85,,27.3
2009-03-27,2057,AAMU-JTG,0.00,63,72,54,35.7,36.2,36.2,40.8,40.7,60,59,59,55,53,84,,28.7
2009-03-28,2057,AAMU-JTG,0.40,63,75,46,37.3,37.6,37.2,41.3,46.9,61,61,60,56,53,76,,28.7
2009-03-29,2057,AAMU-JTG,0.00,45,53,36,34.4,35.8,36.3,40.9,42.6,54,54,56,56,53,72,,29.1
2009-03-30,2057,AAMU-JTG,0.00,50,65,31,32.7,35.2,35.6,40.5,39.9,53,52,54,54,54,65,,29.1
2009-03-31,2057,AAMU-JTG,0.10,56,61,49,33.2,34.8,35.2,40.4,39.5,54,54,55,54,54,68,,29.1
2009-04-01,2057,AAMU-JTG,0.10,60,74,47,34.8,35.1,35.1,40.3,39.2,58,56,56,54,54,50,,29.2
2009-04-02,2057,AAMU-JTG,1.70,62,70,52,34.8,36.0,35.7,40.9,42.1,59,58,58,55,54,87,,29.3
2009-04-03,2057,AAMU-JTG,0.00,52,61,41,37.0,36.9,37.1,41.2,45.6,58,57,58,56,54,79,,31.0
2009-04-04,2057,AAMU-JTG,0.00,56,73,38,34.2,35.9,36.3,40.7,40.1,57,56,57,56,54,64,,31.0
2009-04-05,2057,AAMU-JTG,0.20,60,69,47,33.0,35.6,35.9,40.6,39.7,58,58,58,56,54,76,,31.0
2009-04-06,2057,AAMU-JTG,0.00,41,47,34,37.0,36.7,35.6,40.5,39.3,54,54,56,56,54,76,,31.2
2009-04-07,2057,AAMU-JTG,0.00,40,50,33,35.7,36.0,35.3,40.3,39.0,51,50,53,54,54,66,,31.2
2009-04-08,2057,AAMU-JTG,0.00,52,69,31,33.2,35.3,35.0,40.1,38.8,52,51,52,53,54,54,,31.2
2009-04-09,2057,AAMU-JTG,0.00,62,75,40,29.9,34.4,34.8,40.0,38.6,56,55,55,53,54,52,,31.2
2009-04-10,2057,AAMU-JTG,0.70,63,74,54,36.3,37.2,36.7,40.4,38.8,58,58,58,54,54,75,,31.2
2009-04-11,2057,AAMU-JTG,0.00,49,54,40,36.1,36.6,36.8,41.0,44.5,56,56,57,55,54,86,,31.9
2009-04-12,2057,AAMU-JTG,0.30,56,71,36,34.3,36.0,36.2,40.6,40.6,56,55,56,55,54,72,,31.9
2009-04-13,2057,AAMU-JTG,0.30,65,76,58,37.5,37.8,37.2,40.5,39.7,60,59,59,55,54,76,,32.2
2009-04-14,2057,AAMU-JTG,0.10,51,59,47,38.2,37.8,37.7,41.5,49.0,59,58,59,56,54,79,,32.5
2009-04-15,2057,AAMU-JTG,0.00,49,55,43,35.6,36.4,36.7,40.8,40.9,56,56,57,56,54,76,,32.6
2009-04-16,2057,AAMU-JTG,0.00,55,69,38,33.4,35.7,36.1,40.6,39.3,58,56,57,56,55,71,,32.6
2009-04-17,2057,AAMU-JTG,0.00,62,75,48,30.0,34.8,35.5,40.4,38.8,60,59,59,56,55,51,,32.6
2009-04-18,2057,AAMU-JTG,0.00,60,73,45,27.0,33.4,35.0,40.3,38.6,60,59,59,57,55,59,,32.6
2009-04-19,2057,AAMU-JTG,1.40,60,65,55,32.8,35.0,36.1,41.0,42.9,60,59,60,57,55,89,,32.6
2009-04-20,2057,AAMU-JTG,0.00,57,68,47,36.9,36.6,37.4,41.3,46.1,60,60,60,57,55,75,,34.0
2009-04-21,2057,AAMU-JTG,0.00,56,65,41,34.3,35.8,36.5,40.8,39.8,60,59,60,58,56,56,,34.0
2009-04-22,2057,AAMU-JTG,0.00,55,75,37,31.4,35.2,35.7,40.6,39.2,59,58,58,57,56,64,,34.0
2009-04-23,2057,AAMU-JTG,0.00,68,85,49,28.6,34.4,35.3,40.5,38.7,63,61,61,57,56,66,,34.0
2009-04-24,2057,AAMU-JTG,0.00,73,85,59,25.5,33.1,34.9,40.5,38.4,66,64,63,58,56,50,,34.0
2009-04-25,2057,AAMU-JTG,0.00,73,86,60,22.6,31.4,34.0,40.4,38.3,67,66,65,60,56,53,,34.0
2009-04-26,2057,AAMU-JTG,0.00,73,84,59,20.3,29.7,33.0,40.4,38.2,68,66,66,61,56,54,,34.0
2009-04-27,2057,AAMU-JTG,0.00,74,84,65,18.6,27.8,31.9,40.2,38.0,69,67,67,61,57,55,,34.0
2009-04-28,2057,AAMU-JTG,0.00,71,83,60,17.4,26.4,30.9,40.1,37.8,69,68,67,62,57,65,,34.0
2009-04-29,2057,AAMU-JTG,0.00,69,81,61,16.8,25.5,30.2,39.9,37.8,68,67,67,63,58,77,,34.0
2009-04-30,2057,AAMU-JTG,0.10,71,79,64,16.5,24.7,29.6,39.5,37.7,69,68,67,63,58,68,,34.0
2009-05-01,2057,AAMU-JTG,1.70,64,72,61,32.7,33.5,33.5,39.9,38.9,66,66,67,63,59,94,,34.1
2009-05-02,2057,AAMU-JTG,0.90,65,72,59,37.4,37.1,36.8,41.6,50.6,66,65,66,63,59,94,,35.8
2009-05-03,2057,AAMU-JTG,1.40,65,71,62,38.9,37.9,37.7,42.2,53.7,66,66,66,63,60,97,,36.7
2009-05-04,2057,AAMU-JTG,0.00,67,78,61,35.4,36.3,37.0,41.5,47.0,68,67,67,63,60,85,,38.1
2009-05-05,2057,AAMU-JTG,0.00,65,75,59,34.0,35.5,36.4,41.2,40.4,68,68,68,64,60,87,,38.1
2009-05-06,2057,AAMU-JTG,1.20,66,72,61,38.9,38.0,37.9,42.0,47.1,67,66,67,64,60,89,,38.1
2009-05-07,2057,AAMU-JTG,0.00,72,83,64,35.7,36.5,37.5,41.6,42.5,70,69,68,64,61,80,,39.3
2009-05-08,2057,AAMU-JTG,0.00,76,85,70,32.9,35.2,36.6,41.4,39.8,72,71,70,65,61,76,,39.3
2009-05-09,2057,AAMU-JTG,0.10,72,78,66,33.1,34.5,35.9,41.2,39.2,71,70,71,66,61,82,,39.3
2009-05-10,2057,AAMU-JTG,0.10,64,68,60,33.3,34.4,35.5,41.1,39.0,69,68,69,66,62,84,,39.4
2009-05-11,2057,AAMU-JTG,0.00,59,63,51,33.2,34.2,35.1,41.0,38.8,66,66,67,66,62,88,,39.5
2009-05-12,2057,AAMU-JTG,0.00,64,76,48,32.1,33.9,34.7,40.8,38.6,67,66,66,65,62,78,,39.5
2009-05-13,2057,AAMU-JTG,0.10,66,74,60,31.5,33.5,34.6,40.8,38.5,68,67,67,65,62,77,,39.5
2009-05-14,2057,AAMU-JTG,0.10,72,84,65,32.7,33.3,34.4,40.7,38.3,70,69,69,65,62,78,,39.6
2009-05-15,2057,AAMU-JTG,0.00,74,86,63,31.7,32.9,34.2,40.7,38.2,73,71,71,66,62,82,,39.7
2009-05-16,2057,AAMU-JTG,0.40,69,83,61,33.0,33.8,34.1,40.6,38.2,72,72,71,67,62,88,,39.7
2009-05-17,2057,AAMU-JTG,0.00,57,62,46,37.1,37.0,36.3,40.6,38.2,67,67,69,67,63,72,,40.1
2009-05-18,2057,AAMU-JTG,0.00,55,69,42,34.1,35.9,36.0,40.4,38.1,65,64,66,65,63,60,,40.1
2009-05-19,2057,AAMU-JTG,0.00,59,75,41,30.8,34.4,35.2,40.3,37.9,66,65,66,65,63,66,,40.1
2009-05-20,2057,AAMU-JTG,0.00,66,82,47,27.5,32.6,34.7,40.3,37.8,68,67,67,65,63,65,,40.1
2009-05-21,2057,AAMU-JTG,0.00,70,82,57,24.3,31.1,34.0,40.2,37.7,71,69,69,65,63,68,,40.1
2009-05-22,2057,AAMU-JTG,0.00,72,81,66,22.2,29.7,33.3,40.2,37.6,73,71,71,66,63,72,,40.1
2009-05-23,2057,AAMU-JTG,0.00,69,73,66,21.0,28.7,32.7,40.2,37.6,71,70,71,67,63,84,,40.1
2009-05-24,2057,AAMU-JTG,0.30,72,81,67,29.9,30.7,32.4,40.1,37.6,71,70,70,67,63,86,,40.1
2009-05-25,2057,AAMU-JTG,0.30,72,83,66,31.2,32.9,33.2,40.0,37.5,73,72,72,67,63,83,,40.4
2009-05-26,2057,AAMU-JTG,0.10,72,82,66,32.7,35.5,35.3,39.9,37.4,74,73,72,68,64,86,,40.7
2009-05-27,2057,AAMU-JTG,0.10,73,87,65,32.8,34.9,34.4,39.8,37.3,75,74,74,68,64,85,,40.8
2009-05-28,2057,AAMU-JTG,0.10,73,83,64,34.2,35.6,34.0,39.7,37.3,75,74,74,69,64,80,,40.9
2009-05-29,2057,AAMU-JTG,0.00,67,73,58,32.9,35.4,33.6,39.7,37.2,72,72,73,69,64,82,,41.0
2009-05-30,2057,AAMU-JTG,0.00,70,86,55,29.8,33.7,33.2,39.5,37.1,73,72,72,69,65,77,,41.0
2009-05-31,2057,AAMU-JTG,0.00,75,89,63,25.7,31.5,32.8,39.4,37.0,75,74,74,69,65,71,,41.0
2009-06-01,2057,AAMU-JTG,0.00,76,92,59,22.2,29.6,32.1,39.3,36.9,76,75,74,70,65,69,,41.0
2009-06-02,2057,AAMU-JTG,0.00,77,90,63,19.9,27.7,31.4,39.2,36.8,76,75,75,70,65,71,,41.0
2009-06-03,2057,AAMU-JTG,0.00,76,90,64,18.1,26.0,30.5,39.1,36.7,77,76,76,71,66,70,,41.0
2009-06-04,2057,AAMU-JTG,0.40,70,78,61,21.4,27.9,30.2,39.0,36.6,74,74,75,71,66,90,,41.0
2009-06-05,2057,AAMU-JTG,0.00,64,76,55,28.6,32.1,30.5,38.8,36.5,72,71,72,71,66,83,,41.4
2009-06-06,2057,AAMU-JTG,0.00,69,87,51,24.4,29.4,30.0,38.6,36.4,72,71,72,70,66,73,,41.4
2009-06-07,2057,AAMU-JTG,0.00,74,87,59,20.8,26.6,29.7,38.4,36.3,74,73,73,70,66,75,,41.4
2009-06-08,2057,AAMU-JTG,0.00,76,88,63,18.3,24.9,29.3,38.1,36.2,75,74,74,70,66,71,,41.4
2009-06-09,2057,AAMU-JTG,0.00,76,89,64,16.6,23.5,28.8,37.8,36.1,76,75,74,71,67,75,,41.4
2009-06-10,2057,AAMU-JTG,0.70,74,85,67,22.2,27.4,30.8,37.6,36.0,74,74,74,71,67,86,,41.4
2009-06-11,2057,AAMU-JTG,0.00,77,86,70,27.0,31.0,32.0,37.6,36.0,75,74,74,71,67,81,,42.1
2009-06-12,2057,AAMU-JTG,0.80,78,87,65,25.6,29.4,32.1,37.5,35.9,78,77,76,71,67,76,,42.1
2009-06-13,2057,AAMU-JTG,0.10,73,82,63,30.5,33.1,35.9,38.0,35.9,76,75,75,72,67,88,,42.9
2009-06-14,2057,AAMU-JTG,0.20,73,82,67,31.0,33.9,36.0,38.2,35.8,74,74,75,72,67,91,,43.0
2009-06-15,2057,AAMU-JTG,0.10,75,87,65,31.1,33.8,36.1,38.4,35.8,76,75,75,72,68,85,,43.2
2009-06-16,2057,AAMU-JTG,0.00,78,92,64,32.2,34.0,36.0,38.5,35.8,78,77,76,72,68,79,,43.3
2009-06-17,2057,AAMU-JTG,0.00,82,92,71,29.3,32.2,35.3,38.6,35.8,79,78,78,72,68,74,,43.3
2009-06-18,2057,AAMU-JTG,0.00,82,93,72,25.6,29.9,34.5,38.7,35.7,81,79,79,73,68,75,,43.3
2009-06-19,2057,AAMU-JTG,0.00,82,94,73,22.1,28.2,33.6,38.7,35.6,81,80,79,74,68,73,,43.3
2009-06-20,2057,AAMU-JTG,0.00,82,93,71,19.3,25.8,32.6,38.6,35.6,81,80,80,74,69,76,,43.3
2009-06-21,2057,AAMU-JTG,0.00,83,93,73,17.1,23.3,31.5,38.6,35.6,82,80,80,75,69,74,,43.3
2009-06-22,2057,AAMU-JTG,0.00,84,94,72,15.5,21.7,30.5,38.4,35.4,82,81,80,75,69,68,,43.3
2009-06-23,2057,AAMU-JTG,0.00,81,92,70,14.3,20.3,29.5,38.1,35.2,81,80,81,76,70,68,,43.3
2009-06-24,2057,AAMU-JTG,0.00,79,91,67,13.4,19.0,28.5,37.6,35.1,80,79,79,76,70,64,,43.3
2009-06-25,2057,AAMU-JTG,0.00,79,94,63,12.5,18.0,27.5,37.0,35.0,79,78,79,75,70,67,,43.3
2009-06-26,2057,AAMU-JTG,0.00,81,95,65,11.9,17.1,26.6,36.5,34.9,80,79,79,75,70,69,,43.3
2009-06-27,2057,AAMU-JTG,0.00,82,95,71,11.5,16.3,26.0,36.0,34.8,81,80,80,75,70,71,,43.3
2009-06-28,2057,AAMU-JTG,0.00,81,96,70,11.0,15.7,25.4,35.5,34.7,81,80,80,76,71,76,,43.3
2009-06-29,2057,AAMU-JTG,0.00,77,88,63,10.6,15.4,24.8,35.0,34.6,80,79,79,76,71,57,,43.3
2009-06-30,2057,AAMU-JTG,0.00,80,92,69,10.2,15.0,24.2,34.4,34.6,79,78,78,75,71,51,,43.3
2009-07-01,2057,AAMU-JTG,0.00,79,90,66,9.9,14.6,23.7,33.8,34.4,80,79,79,75,71,57,,43.3
2009-07-02,2057,AAMU-JTG,0.00,76,89,61,9.5,14.3,23.3,33.3,34.4,79,78,78,75,71,65,,43.3
2009-07-03,2057,AAMU-JTG,0.00,74,87,62,9.2,14.0,23.0,32.8,34.2,78,77,78,75,71,62,,43.3
2009-07-04,2057,AAMU-JTG,0.00,78,91,60,8.8,13.8,22.7,32.3,34.1,78,77,78,75,71,60,,43.3
2009-07-05,2057,AAMU-JTG,1.20,77,84,70,22.5,26.8,30.0,32.2,34.0,78,77,78,75,71,85,,43.3
2009-07-06,2057,AAMU-JTG,0.00,76,83,69,22.8,27.2,31.0,32.2,33.9,79,79,79,75,71,83,,44.5
2009-07-07,2057,AAMU-JTG,0.00,76,87,67,18.9,24.6,29.2,32.2,33.8,80,78,79,75,71,67,,44.5
2009-07-08,2057,AAMU-JTG,0.00,76,89,65,15.9,22.6,28.1,32.1,33.7,78,78,78,75,71,68,,44.5
2009-07-09,2057,AAMU-JTG,0.10,76,90,65,13.9,21.2,27.4,32.0,33.6,78,78,78,75,71,80,,44.5
2009-07-10,2057,AAMU-JTG,0.00,78,87,67,12.8,20.3,26.7,32.0,33.5,78,78,78,75,71,73,,44.6
2009-07-11,2057,AAMU-JTG,0.00,77,85,67,12.2,19.5,26.1,32.0,33.5,77,77,77,75,71,80,,44.6
2009-07-12,2057,AAMU-JTG,1.90,78,91,68,16.9,23.0,27.7,31.9,33.3,78,77,78,75,71,82,,44.6
2009-07-13,2057,AAMU-JTG,0.10,74,83,67,27.1,31.7,35.7,35.5,33.2,76,76,77,75,71,87,,46.5
2009-07-14,2057,AAMU-JTG,0.00,77,91,67,23.4,29.9,34.0,36.8,33.2,77,77,77,74,71,79,,46.6
2009-07-15,2057,AAMU-JTG,0.00,82,92,69,20.4,28.3,33.2,36.9,33.1,79,78,78,75,71,76,,46.6
2009-07-16,2057,AAMU-JTG,0.10,74,83,70,21.3,28.2,32.5,37.1,33.0,78,78,78,75,71,89,,46.6
2009-07-17,2057,AAMU-JTG,0.00,77,85,66,20.6,27.7,31.9,37.1,33.0,78,78,78,75,71,73,,46.7
2009-07-18,2057,AAMU-JTG,0.00,69,79,55,17.9,26.3,30.9,37.1,33.0,75,75,76,75,71,71,,46.7
2009-07-19,2057,AAMU-JTG,0.00,67,76,57,16.0,25.1,30.4,37.0,33.0,74,74,75,74,71,75,,46.7
